osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category,zone,operator_tier,pricing_source,tariff_model,base_rate_kes,penalty_fee_kes,county_cost_basis_kes,security_score,accessibility_score,price_transparency_score,overall_rating,sentiment_data_source,time_period,current_speed_kmh,free_flow_speed_kmh,traffic_delay_index,traffic_data_source,total_capacity_bays,capacity_is_reported,distance_to_cbd_km,tier,relative_parking_pressure_index,historical_occupancy_reference_pct,historical_reference_source,validation_status,parking_pressure_score,curb_length_m,estimated_capacity,capacity_source,capacity_fetch_status,cluster_id
1547706894,Unnamed Parking,-1.2901461166666666,36.82060346666666,street_side,unknown,,24/7,public,"Parking Spot (-1.2901, 36.8206)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,25,45,1.8,tomtom_flow_api,,False,0.8762462333247645,tier1_cbd,40.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,149.0,30,estimated_from_street_length_ITDP_methodology,ok_way,1550082489
1547706897,Unnamed Parking,-1.29016996,36.8207088,street_sideQ3295867,unknown,,24/7,public,"Parking Spot (-1.2902, 36.8207)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,25,45,1.8,tomtom_flow_api,,False,0.884392776023604,tier1_cbd,40.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,163.6,33,estimated_from_street_length_ITDP_methodology,ok_way,1550082489
1547762849,Unnamed Parking,-1.3021613500000002,36.82541956666667,street_side,unknown,,24/7,public,"Parking Spot (-1.3022, 36.8254)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,22,43,1.95,tomtom_flow_api,,False,2.310454701546909,tier2_other,47.5,,,no_ground_truth_reference_available,,677.9,136,estimated_from_street_length_ITDP_methodology,ok_way,1547762849
1550082489,Unnamed Parking,-1.29000664,36.82072646,street_side,unknown,,24/7,public,"Parking Spot (-1.2900, 36.8207)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,25,45,1.8,tomtom_flow_api,,False,0.8697634599916736,tier1_cbd,40.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,166.7,33,estimated_from_street_length_ITDP_methodology,ok_way,1550082489
1550082494,Unnamed Parking,-1.29010154,36.8265125,street_side,unknown,,24/7,public,"Parking Spot (-1.2901, 36.8265)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,82,82,1.0,tomtom_flow_api,,False,1.3273598410858602,tier2_other,0.0,,,no_ground_truth_reference_available,,285.7,57,estimated_from_street_length_ITDP_methodology,ok_way,1550082494
1550082496,Unnamed Parking,-1.2899900599999998,36.82733304,street_side,unknown,,24/7,public,"Parking Spot (-1.2900, 36.8273)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,7,48,3.0,tomtom_flow_api,,False,1.3966429698150018,tier2_other,100.0,,,no_ground_truth_reference_available,,59.2,12,estimated_from_street_length_ITDP_methodology,ok_way,1550082495
1550082497,Unnamed Parking,-1.29054996,36.82738002000001,street_side,unknown,,24/7,public,"Parking Spot (-1.2905, 36.8274)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,7,48,3.0,tomtom_flow_api,,False,1.435091958867833,tier2_other,100.0,,,no_ground_truth_reference_available,,41.1,8,estimated_from_street_length_ITDP_methodology,ok_way,1550082500
1550082498,Unnamed Parking,-1.29067772,36.82753246000001,street_side,unknown,,24/7,public,"Parking Spot (-1.2907, 36.8275)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,7,48,3.0,tomtom_flow_api,,False,1.4570937824795809,tier2_other,100.0,,,no_ground_truth_reference_available,,38.1,8,estimated_from_street_length_ITDP_methodology,ok_way,1550082500
1550082499,Unnamed Parking,-1.2908503857142857,36.82733751428572,street_side,unknown,,24/7,public,"Parking Spot (-1.2909, 36.8273)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,7,48,3.0,tomtom_flow_api,,False,1.4502646771735792,tier2_other,100.0,,,no_ground_truth_reference_available,,72.2,14,estimated_from_street_length_ITDP_methodology,ok_way,1550082500
1550082500,Unnamed Parking,-1.29121682,36.82766384,street_side,unknown,,24/7,public,"Parking Spot (-1.2912, 36.8277)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,87,87,1.0,tomtom_flow_api,,False,1.5034819003938025,tier2_other,0.0,,,no_ground_truth_reference_available,,103.5,21,estimated_from_street_length_ITDP_methodology,ok_way,1550082500
