osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
364995017,Unnamed Parking,-1.3186131,36.8563318,surface,unknown,,24/7,private
364997373,Unnamed Parking,-1.3180358,36.8550846,surface,unknown,,24/7,private
365004340,Unnamed Parking,-1.3233285,36.8488642,surface,unknown,,24/7,public
369097325,Unnamed Parking,-1.3272478,36.873767,surface,unknown,,24/7,public
369118069,Unnamed Parking,-1.3293476,36.8005112,surface,no,,24/7,customers
369123224,Unnamed Parking,-1.2889803,36.7567313,surface,unknown,,24/7,public
369279690,Unnamed Parking,-1.3199251,36.8469761,surface,unknown,,24/7,public
370307145,Unnamed Parking,-1.2864769,36.8109935,surface,unknown,,24/7,public
378441395,Unnamed Parking,-1.2579821,36.774095,surface,unknown,,24/7,public
382256363,Supa's Garage,-1.3064829,36.8341843,street_side,unknown,,24/7,public
387483416,Oil Libya Parking,-1.3000671,36.789935,surface,no,,24/7,customers
388048807,KNH Visitors' Parking,-1.301858,36.808386,surface,no,,24/7,public
398460912,Unnamed Parking,-1.2826368,36.8138545,surface,unknown,,24/7,public
401972799,Technical University Of Kenya Parking Lot,-1.2917829,36.8252698,surface,no,,24/7,yes
424089101,Unnamed Parking,-1.2771997,36.769028,surface,yes,,24/7,yes
431113688,Guru Nanak Hospital,-1.2696384,36.8320571,surface,unknown,,24/7,public
435091328,Unnamed Parking,-1.2941987,36.8175909,surface,unknown,,24/7,public
440010966,Unnamed Parking,-1.2854535,36.7900129,surface,unknown,,24/7,public
440010967,Unnamed Parking,-1.2856659,36.7898622,surface,unknown,,24/7,public
456319832,Unnamed Parking,-1.3254293,36.8321327,surface,unknown,,24/7,public
456320326,Unnamed Parking,-1.3242079,36.8303713,surface,unknown,,24/7,public
456331339,Unnamed Parking,-1.3214427,36.8367698,surface,unknown,,24/7,public
456332976,Unnamed Parking,-1.3291242,36.8324519,surface,unknown,,24/7,public
512302705,IFRC car parking space,-1.2884202,36.798543,surface,unknown,,24/7,private
512312764,IFRC employee car parking,-1.2886927,36.7984711,surface,unknown,,24/7,private
512903706,Sarit New Parking,-1.2612571,36.8008002,surface,unknown,,24/7,public
513625452,Unnamed Parking,-1.2940953,36.7795289,surface,unknown,,24/7,public
524758042,Unnamed Parking,-1.2576696,36.8372083,surface,unknown,,24/7,public
524758100,Unnamed Parking,-1.2513729,36.8630129,surface,unknown,,24/7,public
532822660,Cooperative parking lot,-1.2941068,36.8124136,surface,yes,,24/7,customers
542978092,Junction Parking,-1.2982333,36.763858,surface,unknown,,24/7,yes
552377741,Unnamed Parking,-1.2708272,36.7774916,surface,unknown,,24/7,public
553296216,Unnamed Parking,-1.2721018,36.8179596,surface,unknown,,24/7,public
554019570,Unnamed Parking,-1.2756556,36.8246712,surface,unknown,,24/7,public
554861654,Unnamed Parking,-1.2907505,36.769754,surface,unknown,,24/7,public
555080221,"Sikh Temple,Pangani",-1.268664,36.833704,surface,unknown,,24/7,public
557016947,Nyayo Stadium Parking Lot,-1.3026038,36.824607,surface,unknown,,24/7,public
557726171,Judiciary Parking Lot,-1.2941507,36.8138978,surface,unknown,,24/7,public
557726172,Leopard Beach Resort Parking Lot,-1.2933401,36.8159339,surface,unknown,,24/7,public
558314863,Unnamed Parking,-1.2906207,36.8098643,surface,unknown,,24/7,public
558314876,KNH Parking,-1.2995612,36.8052191,surface,unknown,,24/7,public
561740959,Telkom Plaza Parking,-1.2903524,36.8060262,surface,unknown,,24/7,public
563448741,Unnamed Parking,-1.316407,36.8147086,surface,yes,,24/7,public
563457466,Unnamed Parking,-1.2730652,36.8116242,surface,unknown,,24/7,public
563566523,Unnamed Parking,-1.3427593,36.7631702,surface,unknown,,24/7,public
564775721,All Africa Conference of Churches Car Park,-1.2603804,36.7875781,surface,unknown,,24/7,public
564775730,West End Car Parking,-1.259606,36.7830745,surface,unknown,,24/7,public
566687891,Jumuia Parking Lot,-1.2891809,36.7933253,underground,unknown,,24/7,public
569218725,Unnamed Parking,-1.2993846,36.7903009,surface,yes,,24/7,public
572087318,Kirinyaga Road Car Parking,-1.2792902,36.822233,surface,unknown,,24/7,yes
576016273,Victoria Court Parking,-1.2629991,36.806168,surface,unknown,,24/7,public
576018088,Eden Square Parking,-1.2683681,36.8064898,surface,unknown,,24/7,public
577395626,Standard Chartered Bank Parking,-1.2634475,36.8020118,surface,unknown,,24/7,customers
577395627,Westlands Square Parking,-1.2640697,36.8023613,surface,yes,,24/7,public
577395628,Westlands Square Parking,-1.263623,36.8022422,surface,yes,,24/7,yes
579848505,City Market Car Park,-1.2839117,36.8191082,surface,yes,,24/7,yes
581330829,Mpaka House Parking,-1.2650079,36.8041873,surface,unknown,,24/7,customers
581330832,Sclaters House Car Parking,-1.2636077,36.8089364,surface,no,,24/7,customers
583750105,Westgate Car Park,-1.257577,36.802764,surface,yes,,24/7,yes
595908532,Unnamed Parking,-1.2887967,36.7897607,surface,unknown,,24/7,public
598606250,Unnamed Parking,-1.2894485,36.7877147,surface,unknown,,24/7,public
613458329,Unnamed Parking,-1.2786362,36.8032312,surface,unknown,,24/7,public
647573869,Unnamed Parking,-1.2600144,36.8040967,surface,unknown,,24/7,public
660142142,Unnamed Parking,-1.2998235,36.7726604,surface,unknown,,24/7,public
663448833,Unnamed Parking,-1.2948722,36.7819846,surface,unknown,,24/7,public
664046292,City Hall Annexe Parking,-1.2863533,36.8209478,surface,unknown,,24/7,public
685275621,Unnamed Parking,-1.292454,36.7894766,surface,unknown,,24/7,public
686079976,Unnamed Parking,-1.2840134,36.8400039,surface,unknown,,24/7,public
686183956,Unnamed Parking,-1.2836887,36.816573,surface,unknown,,24/7,public
687434849,Unnamed Parking,-1.2874177,36.8235017,surface,unknown,,24/7,public
687438546,Unnamed Parking,-1.2912886,36.8259464,surface,unknown,,24/7,public
687439510,Unnamed Parking,-1.2919526,36.8208177,surface,unknown,,24/7,public
687440901,Unnamed Parking,-1.281525,36.8310059,surface,unknown,,24/7,public
687468463,Unnamed Parking,-1.2895412,36.826501,street_side,unknown,,24/7,public
688411407,Unnamed Parking,-1.3062205,36.849234,surface,unknown,,24/7,public
688412717,Unnamed Parking,-1.2909485,36.8375944,surface,unknown,,24/7,public
689149735,Unnamed Parking,-1.3041897,36.8301941,surface,unknown,,24/7,public
696914132,Unnamed Parking,-1.2807158,36.8179057,street_side,unknown,,24/7,customers
697927358,Unnamed Parking,-1.2840483,36.8198077,surface,unknown,,24/7,public
697943916,Unnamed Parking,-1.2866922,36.8208135,surface,unknown,,24/7,public
698527618,Unnamed Parking,-1.2676486,36.8230639,surface,unknown,,24/7,public
698896205,Unnamed Parking,-1.2681266,36.8227207,surface,unknown,,24/7,public
699886064,Unnamed Parking,-1.2820268,36.8171723,surface,unknown,,24/7,public
718173364,Unnamed Parking,-1.2516091,36.7562721,surface,unknown,,24/7,public
834182201,Unnamed Parking,-1.2982265,36.761742,surface,unknown,,24/7,public
859354013,Unnamed Parking,-1.2694217,36.8501191,surface,unknown,,24/7,public
859412315,Unnamed Parking,-1.2889455,36.7967066,surface,unknown,,24/7,public
859412316,Unnamed Parking,-1.2927684,36.7999673,surface,unknown,,24/7,public
860344832,Unnamed Parking,-1.2872645,36.8107418,surface,unknown,,24/7,public
860344834,Unnamed Parking,-1.2877973,36.8121381,surface,unknown,,24/7,public
860348936,Unnamed Parking,-1.2928014,36.8155122,surface,unknown,,24/7,public
881457077,Unnamed Parking,-1.2980992,36.8701348,surface,unknown,,24/7,public
881593877,Unnamed Parking,-1.3075184,36.7601701,surface,unknown,,24/7,public
881601162,Unnamed Parking,-1.301871,36.7622516,surface,unknown,,24/7,public
881601163,Unnamed Parking,-1.3010697,36.7622274,surface,unknown,,24/7,public
